                                    QX( 2)  Manderfield outflow                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
          *1940    696.      0.      0.      0.    217.     11.   1656.      0.   1574.     71.    691.    730.     5646.     4246.
          *1941    748.      0.     18.    575.    424.      0.      0.      0.      0.   2177.   2049.   1496.     7486.        0.
          *1942   1581.   1078.   1522.   1906.   1323.    160.   1496.      0.      0.    883.   1256.    680.    11886.     1201.
          *1943    782.      0.    263.    592.   1036.    315.   2883.      0.   1808.    209.   1263.    530.     9680.     5004.
          *1944    852.      0.    157.    488.    389.      0.      0.      0.      0.   1967.   1423.   1129.     6407.        0.
          *1945    891.    145.    603.    893.    701.      0.      5.      0.      0.   1658.   1626.   1113.     7635.     2564.
          *1946   1037.    116.    792.   1102.    832.      8.   1767.    463.   1724.     44.    832.    268.     8985.     6097.
          *1947    852.      0.    436.    315.    389.    502.   1170.      0.      0.   1417.   2181.   1446.     8708.      242.
          *1948   1217.      0.    659.    517.    320.      0.    363.      0.   1064.    464.    877.    313.     5794.     4733.
          *1949    462.      0.    101.    315.    113.      0.   1292.      0.      0.   1627.   1308.    680.     5897.     1535.
          *1950    942.      0.    293.    575.    742.      0.    364.   1262.   2311.     11.    353.      0.     6855.     8259.
          *1951    108.      0.      0.      0.      0.      0.      0.   1143.   1609.     98.    776.    140.     3874.     8369.
          *1952    345.      0.      0.      0.      0.      0.   1605.      0.      0.   2512.   2163.   1546.     8171.        0.
          *1953    934.      0.    472.   1235.    721.     35.      0.   2116.   1754.     18.    698.      0.     7983.     8585.
          *1954    273.      0.      0.      0.      0.      0.    600.    916.   2262.      0.    444.      0.     4495.     8495.
          *1955    157.      0.      0.      0.      0.      0.      0.   1243.   1914.     59.    635.      0.     4008.     8935.
          *1956     63.      0.      0.      0.      0.      0.      0.    632.   1491.    592.    657.      0.     3436.     7588.
          *1957    149.      0.      0.      0.      0.      0.      0.    601.      0.   2879.   2269.    896.     6794.      264.
          *1958   1061.      0.    798.    691.    597.      0.    626.      0.      0.   2392.   1264.   1246.     8674.        0.
          *1959    815.      0.     62.    471.    158.      0.      0.   2421.   3118.      0.    198.      0.     7242.    10541.
          *1960      0.      0.      0.      0.      0.      0.      0.   1114.   2593.      0.     72.      0.     3779.     9715.
          *1961     87.      0.      0.      0.      0.      0.      0.   1498.   2675.      0.    349.    214.     4823.     9987.
          *1962    216.      0.      0.      0.      0.      0.   1667.    275.    853.   1359.   1060.    244.     5673.     5499.
          *1963    457.      0.      0.      0.      0.      0.      0.   1157.   2399.      0.    550.      0.     4562.     9429.
          *1964     69.      0.      0.      0.      0.      0.      0.    499.   1553.    818.    699.      0.     3638.     7842.
          *1965     74.      0.      0.      0.      0.      0.      0.   1251.      0.   2158.   2763.   1362.     7608.     5330.
          *1966    809.      0.      0.      0.      0.      0.    222.    825.   2747.      0.    157.      0.     4761.     8930.
          *1967     58.      0.    380.      0.      0.      0.      0.    958.      0.   2491.   2111.   1612.     7610.     4598.
          *1968    852.      0.      0.     25.      0.      0.      0.      0.      0.   1758.   2199.    796.     5630.     2718.
          *1969    761.      0.      0.    401.      0.      0.   1061.      0.      0.   2015.   1996.   1179.     7414.      916.
          *1970   1003.      0.    190.    540.    123.      0.      0.    329.     87.   1649.   1369.    923.     6213.     5028.
          *1971    654.      0.    185.    202.    434.      0.    163.    950.   1140.    814.    973.    355.     5872.     6712.
           1972   1692.    481.   -918.    466.   -304.   -756.    124.   -294.   1998.    502.   1043.     19.     4052.     4052.
           1973    799.     45.    541.    783.     84.    434.   1328.  -1400.   1029.   4979.   2389.     49.    11060.    11060.
           1974    478.  -3329.   2004.   2003.    803.    477.   -509.    571.   3148.   1500.   1241.   1069.     9456.     9456.
           1975   1217.    -39.    298.    656.   -447.   -704.    801.    912.   -444.   1771.   -446.    976.     4552.     4552.
           1976    482.     82.    378.    616.      9.   -436.    -37.   1315.  -1206.   1181.    815.   -297.     2902.     2902.
           1977    499.   -463.   -325.   1674.   -603.    238.    402.   -184.    281.   -685.   1230.    511.     2574.     2574.
           1978     41.   -851.   1311.     49.   -288.   -792.    152.   -174.   -929.   1021.    819.    606.      964.      964.
           1979    483.    206.   -452.   -528.     79.   -183.   -115.  -6196.   -641.   1457.   1014.    223.    -4653.    -4653.
           1980   1474.   -855.    165.    536.   1756.   -602.  -1116.   2078.  -3993.  -2373.   4436.   -145.     1361.     1361.
           1981   1130.     55.   -483.    -90.    165.     -5.    387.    626.   1490.   1354.    506.   1301.     6436.     6436.
           1982   1066.    136.    -90.   -754.    513.   -345.    189.    804.   1193.   3243.   2663.   1080.     9697.     9697.
           1983    830.    -90.   -100.   -360.   -400.    470.   1000.   1280. -10740.    920.   2440.    590.    -4160.    -4160.
           1984    865.    510.   1715.   2501.  -1624.   1869.    276.  -7761.   -407.   2535.   3200.   1813.     5492.     5492.
           1985   1050.   -370.   -517.    894.   2309.    903.    948.  -1633.   1662.   1628.   3221.   1519.    11614.    11614.
                                    QX( 2)  Manderfield outflow                                                          PAGE  5

           R      0.332   0.451   0.201   0.256   0.146   0.383   0.339   0.796   0.803   0.325   0.811   0.401               0.287
           A   -.12E+04-.30E+04-.32E+04-.29E+04-.34E+04-.22E+04-.16E+040.35E+040.39E+04-.99E+03-.67E+03-.19E+04           0.157E+05
           B   0.13E+010.21E+010.28E+010.29E+010.35E+010.15E+010.64E+00-.41E+00-.43E+000.52E+000.88E+000.17E+01          -0.306E+00

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       SUM       ANN

           1986   1366.  -1136.   -290.   -176.   -243.   -590.    949.    -39.    343.   1826.   2732.   1509.     6251.     6251.
           1987    918.    -69.   -277.    -56.    340.     59.   2499.    409.   1843.   1186.   2809.   1317.    10979.    10979.
           1988    785.    926.     78.    -17.   1082.     30.   -145.    303.    495.   1293.   1182.    962.     6974.     6974.
           1989   1452.    273.    248.    609.    299.    659.    337.    582.    171.    -31.    619.    235.     5452.     5452.
           1990    828.    528.    343.     17.    200.    -43.   -440.    444.    393.    693.    615.    630.     4208.     4208.
           1991    667.    293.    137.    -46.   -557.    518.      2.    452.    490.    798.    841.    759.     4353.     4353.
           1992    851.     77.     13.   -186.    196.   -290.   -672.    965.    279.    292.    992.    468.     2986.     2986.
           1993   1013.   -362.   -406.     37.    -40.     44.   -283.  -4974.   1179.   1483.   1444.    941.       76.       76.
           1994    663.     53.   -117.   -200.   -121.   -258.     78.    996.    337.    868.    981.    360.     3640.     3640.
           1995    290.    140.    390.    180.    -30.   -330.    160.     10. -14080.    950.   1150.   1380.    -9790.    -9790.
           1996    594.     92.    316.    -68.    -32.   -473.    588.    509.    509.    674.    902.    367.     3978.     3978.
           1997    265.    747.   1034.    590.    -70.    115.    256.    231.   -558.   2372.   2357.   -152.     7186.     7186.
           1998    217.   -138.    128.    572.   -399.   -169.    856.    887.   4168.      1.   2906.    837.     9867.     9867.
           1999    -59.    228.   -354.    360.    -37.   -296.   1002.  -1299.  -1634.   7030.   4978.   7103.    17022.    17022.
           2000    661.  -1826.  -3371.    275.   -269.  -1108.   -466.    117.    377.   1193.    196.   -422.    -4643.    -4643.
           2001    683.   -769.   -243.     52.    -23.   -356.    -20.    -98.   2282.   1035.    901.     54.     3499.     3499.
           2002  -1337.  -1897.   -160.   -344.   -265.   -651.      6.   1130.    -88.    304.     55.    377.    -2870.    -2870.
           2003    149.     48.   -149.   -320.   -259.   -212.   -445.    202.     98.    190.    175.    774.      250.      250.
          *2004     92.      0.      0.      0.      0.    249.    279.    989.   2190.      0.    329.      0.     4128.     8620.
          *2005    319.      0.      0.    228.    113.      0.    165.      0.      0.   4524.   3212.   2395.    10955.        0.
          *2006   1381.    932.   1609.   1837.   2346.      0.    411.      0.   1839.    419.    575.    234.    11582.     5712.
          *2007    812.      0.    123.   1258.   1153.    330.      0.   1620.   3030.      0.    290.      0.     8617.     9369.
          *2008     90.      0.      0.      0.      0.      0.      0.   1419.   1598.    868.    497.      0.     4471.     8434.
          *2009    254.      0.      0.      0.      9.     26.    402.      0.   1859.    962.   1273.     47.     4831.     5695.

           AVE.    710.      7.    218.    424.    307.     48.    501.    236.    587.   1082.   1303.    736.     6159.     4445.


          * DATA CORRELATED WITH STATION:     10234500 BEAVER RIVER NEAR BEAVER, UT                     Acre-Feet             

           NUMBER OF YEARS   95                       Linear Regression   
                                                                                                                        PAGE  6

          Correlation Coefficients           09:15:39.4          05/15/2011
                      Linear Regression   
          1 OCT  A=-.116527780E+04, B=0.130165643E+01, R=  0.332224, R*R=  0.110373
          2 NOV  A=-.299319401E+04, B=0.212065574E+01, R=  0.451108, R*R=  0.203499
          3 DEC  A=-.324276587E+04, B=0.278663083E+01, R=  0.201420, R*R=  0.040570
          4 JAN  A=-.289797117E+04, B=0.289422285E+01, R=  0.255672, R*R=  0.065368
          5 FEB  A=-.344824975E+04, B=0.345735573E+01, R=  0.145940, R*R=  0.021298
          6 MAR  A=-.219010971E+04, B=0.148747730E+01, R=  0.382975, R*R=  0.146670
          7 APR  A=-.157596659E+04, B=0.640082152E+00, R=  0.339443, R*R=  0.115222
          8 MAY  A=0.347317015E+04, B=-.405709401E+00, R=  0.795895, R*R=  0.633449
